"id","name","created_at","updated_at"
966,Solis & Cordero Micro-Mill,2020-12-04 03:54:04.977,2020-12-04 03:54:04.977
123,Finca El Angel,2018-09-16 01:11:58.801,2018-09-16 01:11:58.801
125,La Bandera,2018-09-16 22:41:25.397,2018-09-16 22:41:25.397
126,Los Horizontes,2018-09-16 23:02:05.386,2018-09-16 23:02:05.386
127,Finca La Folie,2018-09-16 23:31:20.741,2018-09-16 23:31:20.741
128,Mamuto,2018-09-16 23:51:25.886,2018-09-16 23:51:25.886
129,Finca Buena Vista,2018-09-17 00:23:30.199,2018-09-17 00:23:30.199
130,La Providencia,2018-09-17 00:31:19.116,2018-09-17 00:31:19.116
131,El Aguacatal,2018-09-17 00:46:21.240,2018-09-17 00:46:21.240
132,La Negrita,2018-09-19 22:07:15.695,2018-09-19 22:07:15.695
133,Finca Monteblanco,2018-09-19 22:09:51.622,2018-09-19 22:09:51.622
134,El Durazno,2018-09-20 03:10:01.174,2018-09-20 03:10:01.174
135,Santa Anita,2018-09-20 03:13:11.561,2018-09-20 03:13:11.561
136,Finca El Injerto,2018-09-21 00:19:51.650,2018-09-21 00:19:51.650
137,Santa Rosa 1900,2018-09-21 00:37:53.723,2018-09-21 00:37:53.723
138,Mordecofe,2018-09-21 01:27:27.538,2018-09-21 01:27:27.538
139,Finca San Bernardo,2018-09-23 23:55:57.006,2018-09-23 23:55:57.006
140,Guayabales,2018-09-24 00:06:28.421,2018-09-24 00:06:28.421
141,Finca Quejina,2018-09-25 01:18:38.458,2018-09-25 01:18:38.458
142,Kamwangi Coffee Factory,2018-09-26 01:11:51.448,2018-09-26 01:11:51.448
143,Santa Martha,2018-09-26 02:03:54.590,2018-09-26 02:03:54.590
144,Finca La Gloria,2018-09-28 13:02:21.168,2018-09-28 13:02:21.168
145,Muthuthuini,2018-09-28 13:31:42.602,2018-09-28 13:31:42.602
146,Finca El Venado,2018-09-28 13:38:02.075,2018-09-28 13:38:02.075
147,Finca Patio Bonito,2018-09-28 13:43:46.905,2018-09-28 13:43:46.905
148,Finca Las Terrazas,2018-09-29 14:01:17.489,2018-09-29 14:01:17.489
149,Finca Los Angeles,2018-09-30 12:38:39.747,2018-09-30 12:38:39.747
150,Fazenda Rainha,2018-10-01 00:39:04.145,2018-10-01 00:39:04.145
151,Finca La Bolsa,2018-10-01 01:48:25.413,2018-10-01 01:48:25.413
152,Santa Ana la Huerta,2018-10-04 01:07:15.491,2018-10-04 01:07:15.491
153,Green Land Estates,2018-10-04 01:12:24.983,2018-10-04 01:12:24.983
744,Finca San Antonio Chaguite,2019-11-06 20:32:24.987,2019-11-06 20:32:24.987
155,Anonos,2018-10-04 02:25:26.250,2018-10-04 02:25:26.250
156,Finca San José,2018-10-05 01:50:31.181,2018-10-05 01:50:31.181
157,El Ocotillo,2018-10-06 20:40:11.351,2018-10-06 20:40:11.351
158,Cerro Lancandon Chochajau,2018-10-07 03:23:55.859,2018-10-07 03:23:55.859
159,Kateshi Estate,2018-10-07 03:32:05.695,2018-10-07 03:32:05.695
160,El Guabito,2018-10-07 03:47:43.921,2018-10-07 03:47:43.921
161,Finca V&G San Juanillo,2018-10-07 03:50:58.714,2018-10-07 03:50:58.714
162,Nossa Senhora de Fatima,2018-10-07 04:34:24.961,2018-10-07 04:34:24.961
163,Paraiso,2018-10-07 14:28:16.788,2018-10-07 14:28:16.788
164,Un Regalo De Dio,2018-10-07 15:44:14.570,2018-10-07 15:44:14.570
165,Lo Prometido,2018-10-07 15:49:28.015,2018-10-07 15:49:28.015
166,Finca Ojo de Agua,2018-10-09 23:56:52.868,2018-10-09 23:56:52.868
167,Finca Santa Gema,2018-10-10 13:47:34.665,2018-10-10 13:47:34.665
168,Finca Los Nances,2018-10-10 14:44:43.354,2018-10-10 14:44:43.354
169,Santa Rosa,2018-10-12 23:18:18.286,2018-10-12 23:18:18.286
170,El Mirador,2018-10-13 02:18:37.326,2018-10-13 02:18:37.326
171,Volcan Azul,2018-10-13 02:30:38.557,2018-10-13 02:30:38.557
172,Mbokam Estate,2018-10-13 02:51:33.927,2018-10-13 02:51:33.927
173,Finca Himalaya,2018-10-13 03:02:16.107,2018-10-13 03:02:16.107
174,Santa Clara,2018-10-13 03:15:33.814,2018-10-13 03:15:33.814
175,Ivory,2018-10-13 03:19:12.336,2018-10-13 03:19:12.336
176,Bale Mountain,2018-10-13 03:34:59.912,2018-10-13 03:34:59.912
177,Finca La Palma,2018-10-17 13:43:54.129,2018-10-17 13:43:54.129
178,Finca Carolina,2018-10-17 13:48:16.226,2018-10-17 13:48:16.226
179,La Palma y El Tucan,2018-10-17 14:36:08.919,2018-10-17 14:36:08.919
180,Catalan de las Mercedes,2018-10-17 14:56:04.790,2018-10-17 14:56:04.790
181,El Cerro,2018-10-17 15:04:10.537,2018-10-17 15:04:10.537
182,Los Robles,2018-10-17 15:15:03.412,2018-10-17 15:15:03.412
183,Twi'Ha,2018-10-19 13:33:35.451,2018-10-19 13:33:35.451
184,Finca Twi'Ha,2018-10-19 13:33:44.728,2018-10-19 13:33:44.728
185,Matalapa,2018-10-20 20:49:28.377,2018-10-20 20:49:28.377
186,Hacienda La Minita,2018-10-20 21:06:52.563,2018-10-20 21:06:52.563
187,Finca Volveras,2018-10-21 01:13:56.870,2018-10-21 01:13:56.870
188,El Cairo,2018-10-21 01:20:50.643,2018-10-21 01:20:50.643
189,Finca Merino,2018-10-22 00:06:31.107,2018-10-22 00:06:31.107
190,Alto Langunillas,2018-10-22 00:14:20.506,2018-10-22 00:14:20.506
191,Los Cantares,2018-10-22 00:20:22.557,2018-10-22 00:20:22.557
192,Finca La Yumbada,2018-10-22 00:27:56.192,2018-10-22 00:27:56.192
193,Finca La Colina,2018-10-22 01:24:02.486,2018-10-22 01:24:02.486
194,Finca Santa Teresa,2018-10-22 02:11:14.819,2018-10-22 02:11:14.819
195,El Regalito,2018-10-23 20:34:25.419,2018-10-23 20:34:25.419
196,Angel Mountain,2018-10-24 17:07:16.471,2018-10-24 17:07:16.471
197,El Pacayalito,2018-10-24 17:48:44.258,2018-10-24 17:48:44.258
198,Finca San Francisco,2018-10-24 18:04:06.477,2018-10-24 18:04:06.477
199,Finca El Platanillal,2018-10-25 01:00:34.773,2018-10-25 01:00:34.773
