"id","name","created_at","updated_at"
137,Weithaga,2019-01-12 14:11:04.856,2019-01-12 14:11:04.856
138,Gahahe Washing Station,2019-01-12 14:34:19.350,2019-01-12 14:34:19.350
139,Karogoto,2019-01-15 02:04:44.830,2019-01-15 02:04:44.830
140,Buzuraguhindwa Station ,2019-01-17 15:06:16.752,2019-01-17 15:06:16.752
141,Riakiberu Washing Station,2019-01-18 01:40:29.908,2019-01-18 01:40:29.908
142,Kedamai,2019-01-19 14:51:49.002,2019-01-19 14:51:49.002
143,Nyamulinda,2019-01-19 15:27:36.331,2019-01-19 15:27:36.331
144,Hunda Oli,2019-01-19 15:33:29.627,2019-01-19 15:33:29.627
145,Kibirizi,2019-01-21 01:13:27.073,2019-01-21 01:13:27.073
146,Tabe Burka,2019-01-21 02:26:15.591,2019-01-21 02:26:15.591
147,Abakundakawa Cooperative,2019-01-22 04:29:28.544,2019-01-22 04:29:28.544
148,Kahindu Estate,2019-01-23 02:03:39.234,2019-01-23 02:03:39.234
149,Pastores Dry Mill,2019-01-23 02:43:34.395,2019-01-23 02:43:34.395
150,Kilimbi CWS,2019-01-24 02:34:42.769,2019-01-24 02:34:42.769
151,Bumbogo CWS,2019-01-24 02:39:12.755,2019-01-24 02:39:12.755
152,Buziraguhindwa,2019-01-25 20:42:56.633,2019-01-25 20:42:56.633
153,Bella Vista,2019-01-26 04:36:25.055,2019-01-26 04:36:25.055
154,Abdi Gudina,2019-01-27 19:50:13.796,2019-01-27 19:50:13.796
155,Guracho Washing Station,2019-01-27 20:01:55.762,2019-01-27 20:01:55.762
156,COMSA,2019-01-28 02:51:48.265,2019-01-28 02:51:48.265
157,Mokanesa Bulga,2019-01-28 19:27:29.693,2019-01-28 19:27:29.693
158,Buhorwa,2019-01-30 00:12:11.484,2019-01-30 00:12:11.484
159,Family Bonds,2019-01-30 14:29:31.839,2019-01-30 14:29:31.839
160,Musasa,2019-01-31 15:00:51.883,2019-01-31 15:00:51.883
161,Boji Washing Station ,2019-02-06 13:36:41.598,2019-02-06 13:36:41.598
162,Kariru,2019-02-06 15:28:38.954,2019-02-06 15:28:38.954
163,El Pilon Micromill,2019-02-06 15:45:35.211,2019-02-06 15:45:35.211
164,New Gaturi Farmers Cooperative Society,2019-02-06 15:57:09.976,2019-02-06 15:57:09.976
165,Rugali CWS,2019-02-06 16:09:54.823,2019-02-06 16:09:54.823
166,Koke,2019-02-06 18:35:47.349,2019-02-06 18:35:47.349
167,Sharo Washing Station,2019-02-11 03:15:15.870,2019-02-11 03:15:15.870
168,Guama Factory,2019-02-11 03:29:39.669,2019-02-11 03:29:39.669
409,Buliza Station,2019-11-08 18:59:43.260,2019-11-08 18:59:43.260
170,Rukira,2019-02-13 17:36:18.474,2019-02-13 17:36:18.474
171,Kinini Coffee Washing Station,2019-02-26 21:05:41.243,2019-02-26 21:05:41.243
172,Uraga Wet Mill,2019-02-27 15:35:52.354,2019-02-27 15:35:52.354
173,Thimu Factory ,2019-03-04 16:45:36.829,2019-03-04 16:45:36.829
174,Kochere Station,2019-03-05 21:10:31.640,2019-03-05 21:10:31.640
175,CENFROCAFE,2019-03-06 22:07:40.351,2019-03-06 22:07:40.351
176,Sitio da Torre,2019-03-08 03:33:48.977,2019-03-08 03:33:48.977
177,Nazareth Washing Station,2019-03-08 03:50:48.135,2019-03-08 03:50:48.135
178,Nazareth,2019-03-08 03:52:13.277,2019-03-08 03:52:13.277
179,Baroida Estate,2019-03-08 04:13:33.127,2019-03-08 04:13:33.127
180,Kiamugumo Factory,2019-03-08 14:18:10.801,2019-03-08 14:18:10.801
181,Nemba,2019-03-10 18:42:29.048,2019-03-10 18:42:29.048
182,Wolena,2019-03-12 01:30:07.732,2019-03-12 01:30:07.732
183,Kayon Mountain Farm,2019-03-17 15:03:21.628,2019-03-17 15:03:21.628
184,Karumandi factory,2019-03-19 23:30:02.309,2019-03-19 23:30:02.309
185,LiJiang Farm Mill,2019-03-23 16:11:16.207,2019-03-23 16:11:16.207
417,Intango,2019-11-17 01:23:52.846,2019-11-17 01:23:52.846
187,Kiawamururu Factory,2019-03-25 03:00:24.617,2019-03-25 03:00:24.617
188,Nova Coffee,2019-03-25 03:13:05.061,2019-03-25 03:13:05.061
189,Biru Bekele,2019-03-29 01:34:56.560,2019-03-29 01:34:56.560
190,Kiryama Washing Station,2019-04-01 15:57:03.397,2019-04-01 15:57:03.397
191,Mchana Estate,2019-04-02 19:51:56.587,2019-04-02 19:51:56.587
192,Mbirizi estate,2019-04-02 20:00:12.247,2019-04-02 20:00:12.247
